id,lat,lon,cluster,opened,cluster_solved
147,18.002272096205825,-92.91343951839164,0,1,0
206,17.993123477339605,-92.9224913629598,0,1,0
632,17.99992408069563,-92.90813586253616,0,1,0
1060,18.008075142035697,-92.90354226759456,0,1,0
1104,18.004532311953337,-92.93805880980814,0,1,0
1304,18.012377877805196,-92.94069832188345,0,1,0
2158,17.997410717517162,-92.92804998823644,0,1,0
996,17.979702014528215,-92.95867246593548,1,1,1
1042,17.987599851995494,-92.94549762565084,1,1,1
1076,17.974088188778573,-92.95396731243396,1,1,1
1475,17.99089781105062,-92.95588249777786,1,1,1
1697,18.012320110939108,-92.95139500455784,1,1,1
2061,17.980244779772534,-92.95379610936791,1,1,1
2133,17.997941327800124,-92.95630222691028,1,1,1
311,17.983326504338304,-92.90635889458524,2,1,2
798,17.980926739568876,-92.9112504972802,2,1,2
963,17.978218789918003,-92.9166905130994,2,1,2
1261,17.97607899071451,-92.90893843080528,2,1,2
1547,17.982278501803048,-92.91857727855384,2,1,2
1833,17.99489818311808,-92.9084908340938,2,1,2
2328,17.97367465854504,-92.90478896257711,2,1,2
410,18.013760157241343,-92.89821768754145,3,1,3
435,18.022411376150387,-92.89966598272056,3,1,3
458,18.027687660966254,-92.89752785140747,3,1,3
542,18.024023592630325,-92.89536084513004,3,1,3
1432,18.018626737719146,-92.89886082429734,3,1,3
1664,18.025535507183815,-92.89985877683468,3,1,3
2204,18.02098682799758,-92.90458760309892,3,1,3
339,18.01473160105976,-92.94725348884562,4,1,4
572,18.02373839011213,-92.94191924079878,4,1,4
639,18.01932942881047,-92.93534772510812,4,1,4
1090,18.019736487121783,-92.92244698018024,4,1,4
1570,18.00962859281792,-92.92424066121012,4,1,4
1878,18.0216347438369,-92.91645435246768,4,1,4
2259,18.026547020769353,-92.91577074410714,4,1,4
