D_MAX,S_MIN,p_total,beta,coverage_rate,w_mean_dist_m,n_covered,runtime_s,solver_status,w_coverage_rate,is_pareto
300,200,5,0.1,0.6683,162.53,969,2.06,OK,,False
300,200,5,0.25,0.6628,164.5,961,1.35,OK,,False
300,200,5,0.5,0.6221,164.51,902,1.33,OK,,False
300,200,7,0.1,0.7386,159.38,1071,1.32,OK,,True
300,200,7,0.25,0.7345,160.52,1065,1.26,OK,,True
300,200,7,0.5,0.6924,160.39,1004,1.43,OK,,False
300,200,9,0.1,0.8048,156.83,1167,1.5,OK,,True
300,200,9,0.25,0.8007,155.68,1161,1.68,OK,,True
300,200,9,0.5,0.7531,155.06,1092,1.95,OK,,True
300,240,5,0.1,0.6669,162.75,967,2.32,OK,,False
300,240,5,0.25,0.6621,164.52,960,1.98,OK,,False
300,240,5,0.5,0.6241,164.54,905,1.83,OK,,False
300,240,7,0.1,0.7379,159.98,1070,1.87,OK,,False
300,240,7,0.25,0.7345,161.14,1065,2.01,OK,,False
300,240,7,0.5,0.6952,161.02,1008,1.89,OK,,False
300,240,9,0.1,0.8041,156.79,1166,2.31,OK,,True
300,240,9,0.25,0.8007,155.66,1161,2.33,OK,,True
300,240,9,0.5,0.7545,155.03,1094,2.32,OK,,True
300,300,5,0.1,0.6683,163.51,969,4.67,OK,,False
300,300,5,0.25,0.6628,165.15,961,3.83,OK,,False
300,300,5,0.5,0.6241,164.97,905,3.88,OK,,False
300,300,7,0.1,0.7421,161.23,1076,3.56,OK,,False
300,300,7,0.25,0.7379,162.46,1070,3.64,OK,,False
300,300,7,0.5,0.6972,162.28,1011,3.63,OK,,False
300,300,9,0.1,0.8055,158.13,1168,3.77,OK,,True
300,300,9,0.25,0.8014,156.95,1162,4.04,OK,,False
300,300,9,0.5,0.7579,156.54,1099,3.97,OK,,False
366,200,5,0.1,0.7931,184.89,1150,3.09,OK,,False
366,200,5,0.25,0.7979,185.66,1157,2.14,OK,,False
366,200,5,0.5,0.7552,185.42,1095,2.23,OK,,False
366,200,7,0.1,0.86,175.03,1247,1.83,OK,,True
366,200,7,0.25,0.8552,176.83,1240,2.27,OK,,False
366,200,7,0.5,0.8028,179.28,1164,2.64,OK,,False
366,200,9,0.1,0.8952,164.69,1298,3.12,OK,,True
366,200,9,0.25,0.8931,163.93,1295,3.38,OK,,True
366,200,9,0.5,0.8393,166.65,1217,3.14,OK,,False
366,240,5,0.1,0.7931,185.32,1150,3.57,OK,,False
366,240,5,0.25,0.7979,186.1,1157,3.02,OK,,False
366,240,5,0.5,0.7559,185.86,1096,3.03,OK,,False
366,240,7,0.1,0.86,175.44,1247,2.67,OK,,False
366,240,7,0.25,0.8552,177.25,1240,3.0,OK,,False
366,240,7,0.5,0.8062,179.71,1169,3.44,OK,,False
366,240,9,0.1,0.8986,166.3,1303,4.55,OK,,True
366,240,9,0.25,0.8966,165.6,1300,4.29,OK,,True
366,240,9,0.5,0.8434,166.6,1223,3.83,OK,,False
366,300,5,0.1,0.7931,185.32,1150,6.6,OK,,False
366,300,5,0.25,0.7979,185.32,1157,5.38,OK,,False
366,300,5,0.5,0.7538,185.08,1093,4.94,OK,,False
366,300,7,0.1,0.86,175.75,1247,4.67,OK,,False
366,300,7,0.25,0.8552,177.58,1240,5.43,OK,,False
366,300,7,0.5,0.8007,179.25,1161,5.87,OK,,False
366,300,9,0.1,0.8986,167.74,1303,7.12,OK,,False
366,300,9,0.25,0.8966,167.2,1300,6.49,OK,,False
366,300,9,0.5,0.8386,168.21,1216,6.56,OK,,False
450,200,5,0.1,0.8903,203.96,1291,3.62,OK,,False
450,200,5,0.25,0.8897,203.64,1290,3.19,OK,,False
450,200,5,0.5,0.8393,202.61,1217,3.18,OK,,False
450,200,7,0.1,0.931,190.27,1350,3.55,OK,,False
450,200,7,0.25,0.9262,191.71,1343,3.38,OK,,False
450,200,7,0.5,0.8759,191.8,1270,3.14,OK,,False
450,200,9,0.1,0.9483,173.48,1375,3.35,OK,,True
450,200,9,0.25,0.9476,173.53,1374,2.47,OK,,True
450,200,9,0.5,0.8938,173.51,1296,2.62,OK,,True
450,240,5,0.1,0.8903,204.36,1291,5.03,OK,,False
450,240,5,0.25,0.8897,204.05,1290,4.54,OK,,False
450,240,5,0.5,0.8428,203.03,1222,3.98,OK,,False
450,240,7,0.1,0.931,190.96,1350,4.59,OK,,False
450,240,7,0.25,0.9262,192.37,1343,5.16,OK,,False
450,240,7,0.5,0.8759,192.49,1270,4.11,OK,,False
450,240,9,0.1,0.9483,174.39,1375,4.28,OK,,False
450,240,9,0.25,0.9476,174.4,1374,3.66,OK,,False
450,240,9,0.5,0.8952,174.39,1298,3.58,OK,,False
450,300,5,0.1,0.8903,204.74,1291,7.79,OK,,False
450,300,5,0.25,0.889,204.43,1289,6.37,OK,,False
450,300,5,0.5,0.8428,203.42,1222,6.83,OK,,False
450,300,7,0.1,0.931,191.68,1350,6.46,OK,,False
450,300,7,0.25,0.9255,193.17,1342,6.66,OK,,False
450,300,7,0.5,0.8766,193.22,1271,6.51,OK,,False
450,300,9,0.1,0.9483,176.53,1375,6.7,OK,,False
450,300,9,0.25,0.9469,176.5,1373,7.02,OK,,False
450,300,9,0.5,0.8959,176.5,1299,6.1,OK,,False
