D_MAX,S_MIN,p_total,beta,coverage_rate,w_mean_dist_m,n_covered,runtime_s,solver_status,w_coverage_rate
300,200,5,0.1,0.3145,185.38,1488,17.4,OK,
300,200,5,0.25,0.3075,186.16,1455,17.31,OK,
300,200,5,0.5,0.3071,186.39,1453,15.98,OK,
300,200,7,0.1,0.3587,184.7,1697,16.06,OK,
300,200,7,0.25,0.3498,186.21,1655,16.04,OK,
300,200,7,0.5,0.3494,186.43,1653,15.97,OK,
300,200,9,0.1,0.3959,181.2,1873,15.59,OK,
300,200,9,0.25,0.3864,181.2,1828,16.29,OK,
300,200,9,0.5,0.3858,181.38,1825,16.28,OK,
300,240,5,0.1,0.3145,185.38,1488,22.8,OK,
300,240,5,0.25,0.3078,186.16,1456,20.4,OK,
300,240,5,0.5,0.3073,186.39,1454,19.71,OK,
300,240,7,0.1,0.3587,184.7,1697,19.16,OK,
300,240,7,0.25,0.3502,186.21,1657,19.58,OK,
300,240,7,0.5,0.3496,186.43,1654,19.41,OK,
300,240,9,0.1,0.3959,181.2,1873,19.79,OK,
300,240,9,0.25,0.3866,181.2,1829,19.49,OK,
300,240,9,0.5,0.3862,181.38,1827,19.53,OK,
300,300,5,0.1,0.3145,185.38,1488,26.39,OK,
300,300,5,0.25,0.3063,186.16,1449,24.41,OK,
300,300,5,0.5,0.3059,186.39,1447,24.16,OK,
300,300,7,0.1,0.3587,184.7,1697,23.98,OK,
300,300,7,0.25,0.3488,186.21,1650,23.85,OK,
300,300,7,0.5,0.3483,186.43,1648,23.35,OK,
300,300,9,0.1,0.3957,181.24,1872,24.23,OK,
300,300,9,0.25,0.3849,181.09,1821,24.08,OK,
300,300,9,0.5,0.3845,181.26,1819,24.73,OK,
366,200,5,0.1,0.4014,225.48,1899,24.46,OK,
366,200,5,0.25,0.3938,225.35,1863,23.69,OK,
366,200,5,0.5,0.3938,225.31,1863,24.39,OK,
366,200,7,0.1,0.4561,224.01,2158,18.34,OK,
366,200,7,0.25,0.4464,223.29,2112,18.61,OK,
366,200,7,0.5,0.4456,223.16,2108,18.29,OK,
366,200,9,0.1,0.5092,222.07,2409,20.58,OK,
366,200,9,0.25,0.4984,222.35,2358,21.18,OK,
366,200,9,0.5,0.4959,222.08,2346,21.33,OK,
366,240,5,0.1,0.4014,225.48,1899,29.54,OK,
366,240,5,0.25,0.3925,225.35,1857,27.19,OK,
366,240,5,0.5,0.3925,225.31,1857,26.98,OK,
366,240,7,0.1,0.4561,224.01,2158,22.84,OK,
366,240,7,0.25,0.4451,223.29,2106,22.19,OK,
366,240,7,0.5,0.4443,223.16,2102,22.23,OK,
366,240,9,0.1,0.5092,222.07,2409,24.57,OK,
366,240,9,0.25,0.4971,222.35,2352,25.71,OK,
366,240,9,0.5,0.4946,222.08,2340,26.53,OK,
366,300,5,0.1,0.4014,225.48,1899,35.41,OK,
366,300,5,0.25,0.3932,225.35,1860,32.24,OK,
366,300,5,0.5,0.3932,225.31,1860,32.33,OK,
366,300,7,0.1,0.4561,223.66,2158,27.9,OK,
366,300,7,0.25,0.4458,223.29,2109,28.12,OK,
366,300,7,0.5,0.4449,223.16,2105,27.0,OK,
366,300,9,0.1,0.5092,222.07,2409,29.35,OK,
366,300,9,0.25,0.498,222.35,2356,30.84,OK,
366,300,9,0.5,0.4952,222.08,2343,31.59,OK,
450,200,5,0.1,0.5162,277.68,2442,23.1,OK,
450,200,5,0.25,0.5052,277.97,2390,21.34,OK,
450,200,5,0.5,0.505,278.05,2389,21.42,OK,
450,200,7,0.1,0.58,275.25,2744,23.06,OK,
450,200,7,0.25,0.5684,273.56,2689,22.71,OK,
450,200,7,0.5,0.5684,273.6,2689,22.69,OK,
450,200,9,0.1,0.6358,275.46,3008,23.27,OK,
450,200,9,0.25,0.6227,273.69,2946,22.26,OK,
450,200,9,0.5,0.6221,271.97,2943,22.48,OK,
450,240,5,0.1,0.5162,277.68,2442,28.46,OK,
450,240,5,0.25,0.5052,277.97,2390,26.03,OK,
450,240,5,0.5,0.505,278.05,2389,26.15,OK,
450,240,7,0.1,0.58,275.25,2744,26.21,OK,
450,240,7,0.25,0.568,273.56,2687,26.04,OK,
450,240,7,0.5,0.5682,273.6,2688,26.03,OK,
450,240,9,0.1,0.6358,275.46,3008,26.89,OK,
450,240,9,0.25,0.6227,273.69,2946,31.61,OK,
450,240,9,0.5,0.6221,271.97,2943,28.95,OK,
450,300,5,0.1,0.5162,277.68,2442,36.55,OK,
450,300,5,0.25,0.506,277.97,2394,34.38,OK,
450,300,5,0.5,0.506,278.05,2394,32.06,OK,
450,300,7,0.1,0.58,275.25,2744,34.61,OK,
450,300,7,0.25,0.569,273.56,2692,31.97,OK,
450,300,7,0.5,0.569,273.6,2692,31.66,OK,
450,300,9,0.1,0.6358,275.46,3008,33.47,OK,
450,300,9,0.25,0.624,273.69,2952,32.77,OK,
450,300,9,0.5,0.6231,271.97,2948,33.67,OK,
